web-scraper-order,web-scraper-start-url,text
"1574014993-25","https://studymoose.com/case-analysis-massey-ferguson-essay","The above-mentioned monetary policy pushed the American economy into recession. Massey’s renewed drive into North America (by 1978, it had introduced a new range of large, high-horsepower tractors and an improved baler line) unfortunately demand went down and MF had to suffer"
"1574014993-38","https://studymoose.com/case-analysis-massey-ferguson-essay","Financial Advice :

Refinancing is an alternative that is best to be considered, our suggestion to MF are:

MF should convert their debts to equity on immediate basis as debt holders will not get anything if company gets default and by getting shares they will be the part of company’s board of directors as well. On immediate base they can request their stake holders to hold on for certain time frame. Company will pay them interest with betterment in finance positions. Sweeteners or warrants are other option they can offer to debt holders that will bring in something positive to opt for as MF has good chance to come up with finances. Government being the key stakeholder is ready to guarantee the new equity investment in Massey as if company closes its operations ultimately thousands of employees will be direct burden on the govt."
"1574014993-2","https://studymoose.com/case-analysis-massey-ferguson-essay","Massey’s Strategies:"
"1574014993-9","https://studymoose.com/case-analysis-massey-ferguson-essay","In 1980 Massey purchased diesel engines from Perkins Engine Group which was the producer of diesel engines in England. 50% of Perkins’s diesel engine export worldwide was to Massey’s subsidiaries and affiliates. Because of rising gasoline prices there was huge shift to diesel engines, so it was bringing in an effective market to Massey as well"
"1574014993-3","https://studymoose.com/case-analysis-massey-ferguson-essay","1) Product-Market Strategy:"
"1574014993-39","https://studymoose.com/case-analysis-massey-ferguson-essay","Learning From the Case Study:

The major learning’s from the case study are:"
"1574014993-34","https://studymoose.com/case-analysis-massey-ferguson-essay","2) Divestitures:

Another option that MF has, to cover up its loss by selling any of its unit but financial side of the company and Product-market position doesn’t make this option viable."
"1574014993-17","https://studymoose.com/case-analysis-massey-ferguson-essay","Large multinational companies with full product lines"
"1574014993-20","https://studymoose.com/case-analysis-massey-ferguson-essay","These types of restrictions can impede company financial options during down times (as they did when Massey Ferguson attempted an equity issuance in 1978). The emphasis on short term credit lines was also a questionable choice of finance structuring. Expansionary/market penetrating strategies typically pan out by taking losses in the short term in order to realize larger gains in the long term. Along with an expansionary strategy, Massey Ferguson was also increasing spending in R&D for production of higher horsepower tractors to market in North America and for diesel engine production."
"1574014993-7","https://studymoose.com/case-analysis-massey-ferguson-essay","History shows that Massey had been strong in Market outside North America and Western Europe. Massey Production facilities were also across the different region of the world (Exhibit 5). Largest facilities were located in Canada, France, England, and Australia. In less developed countries like Pakistan, Peru, Egypt, Iran, Libya, Turkey, Saudi Arabia, Sri Lanka, Sudan and Mozambique Massey was quite successful in carrying out the contracts and operations."
"1574014993-40","https://studymoose.com/case-analysis-massey-ferguson-essay","Organizations should not aggressively opt for aggressing financing when they are dealing in highly cyclical market where risk is high or highly uncertain. Aggressive debts in good times are not a good financial strategy, organization should create a balance between capital structures and bring in equity financing when in good time. Interaction of product market and financial risk should be carefully considered while carrying on various long term strategies for the organization."
"1574014993-12","https://studymoose.com/case-analysis-massey-ferguson-essay","High Interest rates"
"1574014993-27","https://studymoose.com/case-analysis-massey-ferguson-essay","High exchange rates were another area of concern which damaged the MF as the pound sterling rate was increasing. MF cost of goods sold also had a direct impact which ultimately cut the profit of the company and company lost its competitive edge."
"1574014993-33","https://studymoose.com/case-analysis-massey-ferguson-essay","Companies short term debts were about to mature which was another additional burden on the part of company. MF had 100 million $ of receivables in this recession era. Additional 100 million $ inventories were there in demand decreasing market scenario."
